run,score
0,-128.30109408089507
1,-125.80167201118056
2,-130.04922709020965
3,-130.58365582962765
4,-244.40166519271892
5,-129.01104811280715
6,-2.539774579015184
7,-240.34223730999284
8,-309.1172365691587
9,-119.5320971154018
10,-128.31662248482579
11,-245.7326989615043
12,-132.3298014264874
13,-124.71862518192818
14,-239.2173445968616
15,-122.68864259064408
16,-258.3512969839633
17,-388.57205002436257
18,-129.58803271665133
19,-125.63080059946391
20,-248.97784953165635
21,-131.52355370231533
22,-245.73120108928313
23,-3.218951957632967
24,-237.91730224587607
25,-129.7442047015312
26,-2.0310458844008985
27,-2.451506353713385
28,-240.30002078464605
29,-364.32040171292107
30,-1.8161374066582003
31,-126.13076493681022
32,-125.59995204604974
33,-250.82912752464685
34,-121.9665112932024
35,-126.4671551908989
36,-126.17002847233695
37,-126.44161081336253
38,-125.16623490300186
39,-244.0895593384138
40,-128.1836043524584
41,-492.1318158655798
42,-126.80903528186646
43,-249.09324013653398
44,-127.51321152920406
45,-3.2884986146959907
46,-320.4038794048346
47,-1.8754668725243886
48,-366.56813837137037
49,-126.93843335366476
50,-428.36590987136736
51,-119.7282645040609
52,-128.32610042644723
53,-243.15960340801536
54,-241.07567574007214
55,-125.52811740224897
56,-120.82799013227189
57,-271.46157033817656
58,-123.26219635377107
59,-130.59870171868985
60,-123.64559078116655
61,-249.07843365819613
62,-125.78167206815216
63,-237.9461156718546
64,-137.30960528792878
65,-256.1475182776549
66,-119.65049461379782
67,-115.44441617174158
68,-1.7697763688176251
69,-454.5517441538532
70,-122.48228719039233
71,-1.7368692659835243
72,-130.62649118582897
73,-127.88577699702662
74,-333.5140770330889
75,-2.3523288635830206
76,-132.3911501098028
77,-129.69664376691927
78,-248.78300387494244
79,-122.97656843017943
80,-381.92039595431373
81,-1.7253797448096235
82,-124.92201832585151
83,-129.0977980080261
84,-125.94064056725776
85,-122.05975666631689
86,-2.002781556998077
87,-121.7989691175624
88,-258.20892542897445
89,-241.23101980814542
90,-256.6666572981131
91,-127.71300529558545
92,-125.32039355112416
93,-254.26242731829228
94,-125.77931913162082
95,-258.6111657278047
96,-126.5635717098605
97,-247.6845802328613
98,-121.08520754551942
99,-259.67990668956753
